caseid,sender,target,startdate,terdate,defactoter,ongoing,gradual,expiry,review,measures,goals,adaptgoal,targetsalience,sendersalience,requirementter,outcome,negotiations,costsender,instinvestment,costtarget,multilateralism,datasets,comment,sourceimp,sourceter
EU_BUL_08,1830,355,23.07.2008,18.11.2009,,0,1,0,1,FS,Other,0,0,0,Clear ,Target complete acquiescence,1,Blank,0,Minor,EU,EUSANCT,,"https://ec.europa.eu/commission/presscorner/detail/en/MEMO_08_522; 
https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:52008DC0496",https://www.novinite.com/articles/110102/Bulgaria+Gets+Back+Frozen+Aid+under+PHARE
USA_BUL_03,2,355,01.07.2003,29.03.2004,,0,1,0,0,"AS, IM",CB,0,0,0,Clear ,Stalemate,1,Minor,0,Minor,USA,EUSANCT/TIES,ICC CASE,https://2001-2009.state.gov/t/pm/rls/othr/misc/23425.htm,https://www.nato.int/docu/update/2004/03-march/e0329a.htm
EU_MLD_03,1830,359,27.02.2003,24.01.2012,22.02.2010,0,1,1,1,TB,"DM, HR",1,1,0,Clear ,Stalemate,1,Blank,0,Minor,EU – USA,IST,"Joint sanctions by USA and EU. Sanctions against de-facto government of Transnistria, termination date is the day the last person on the sanctions list seized to serve in the de-facto government",https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32003E0139&qid=1561715117601&from=EN,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32012D0170&qid=1574941267333&from=en
USA_MLD_03,2,359,27.02.2003,24.01.2012,,0,1,1,1,TB,"DM, HR",0,1,0,Ambiguous,Stalemate,1,Minor,0,Minor,EU – USA,IST,"Joint sanctions by USA and EU. Sanctions against de-facto government of Transnistria, termination date is the day the last person on the sanctions list seized to serve in the de-facto government",https://2001-2009.state.gov/r/pa/prs/ps/2003/18029.htm,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32012D0170&qid=1574941267333&from=en
EEC_ROM_90,1653,360,15.06.1990,22.10.1990,,0,0,0,0,AS,"HR, DM",0,0,0,Clear ,Target partial acquiescence,0,Blank,0,Minor,EU – USA,EUSANCT,Termination date ratification of Romanian TCA,https://europa.eu/rapid/press-release_IP-90-489_en.htm,https://books.google.de/books?id=SrJKAzRrApoC&pg=PA25&lpg=PA25&dq=ratification+of+EC-Romania+cooperation+22+october+1990&source=bl&ots=mibXhM8bZq&sig=ACfU3U1OMbg7SEo1RkKPm6qOTvNBhuRtWQ&hl=en&sa=X&ved=2ahUKEwj347PVuYDuAhUF-6QKHXD6CcYQ6AEwAXoECAEQAg#v=onepage&q=ratification%20of%20EC-Romania%20cooperation%2022%20october%201990&f=false
USA_ROM_88,2,360,03.07.1988,02.11.1993,,0,0,0,0,"CE, FS",HR,0,0,0,Clear ,Target partial acquiescence,0,Minor,0,Minor,EU – USA,EUSANCT/HSE,,"https://www.archives.gov/federal-register/codification/proclamations/05836.html;
https://www.govinfo.gov/content/pkg/GPO-CRECB-1987-pt13/pdf/GPO-CRECB-1987-pt13-4-2.pdf",https://www.presidency.ucsb.edu/documents/statement-signing-legislation-most-favored-nation-trade-status-for-romania-0
EEC_RUS_91_a,1653,365,21.01.1991,29.06.1991,,0,0,0,0,"DS, AS","HR, DM",0,1,1,Clear ,Target partial acquiescence,1,Blank,0,Major,EU,EUSANCT,,http://aei.pitt.edu/36871/1/A2880.pdf,http://aei.pitt.edu/36871/1/A2880.pdf
EEC_RUS_91_b,1653,365,20.08.1991,22.08.1991,,0,0,0,0,AS,DM,0,1,0,Clear ,Target complete acquiescence,0,Blank,0,Minor,EU – USA,EUSANCT/HSE,,http://hist.asu.ru/aes/EFP_Documents_0415158222.pdf,http://www.hist.asu.ru/aes/EFP_Documents_0415158222.pdf
EU_RUS_14,1830,365,06.03.2014,,,1,1,1,1,"AF, TB, FS, AE, CE, IM, DS",AC,0,1,1,Clear ,Blank,1,Blank,1,Major,EU – USA,EUSANCT,,https://www.consilium.europa.eu/media/29285/141372.pdf,
EU_RUS_99,1830,365,11.12.1999,10.07.2000,,0,0,0,0,"FS, AS","HR, AC",0,0,1,Clear ,Sender capitulation,1,Blank,0,Minor,EU,EUSANCT/TIES,,https://europa.eu/rapid/press-release_DOC-99-16_en.htm,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:52000IP0587&qid=1570522280994&from=EN
